player_name,team,league,age,position,appearances,starts,minutes,goals,assists,shots_total,shots_on,passes_total,passes_key,pass_accuracy,tackles,interceptions,blocks,dribbles_attempts,dribbles_success,fouls_drawn,fouls_committed,yellow_cards,red_cards,player_id,rating,duels_won_pct,xg_proxy,performance_score,fatigue_index,defensive_impact,anomaly_z,is_anomaly,z_rating,z_performance_score,z_goals,z_pass_accuracy,z_defensive_impact,anomaly_score,anomaly_type
Brenden Aaronson,Leeds United,Premier League,22,Midfielder,20,19,1596,1,0.11,1.53,0.28,23.2,1.75,74.9,1.64,0.06,1.69,3.73,1.19,2.26,0.62,0.11,0.0,1,7.477,0.319,0.05,0.4529,0.8867,1.181,-0.1423,0,0.0329,-0.1423,-0.0137,-0.045,-0.0725,0.0613,Normal
Yunis Abdelhamid,Reims,Ligue 1,35,Defender,22,22,1980,0,0.05,0.86,0.05,38.5,0.27,81.5,2.5,2.0,2.23,0.68,0.32,0.5,1.32,0.09,0.0,2,7.406,0.4706,0.0,0.4793,1.0,2.269,0.179,0,-0.2825,0.179,-0.5103,0.4583,1.06,0.498,Normal
Himad Abdelli,Angers,Ligue 1,23,Midfielder,14,8,770,0,0.0,1.05,0.35,40.0,1.51,80.8,2.91,0.93,1.51,3.84,2.09,1.28,1.74,0.12,0.0,3,7.398,0.5443,0.0,0.4924,0.6111,1.896,0.3385,0,-0.318,0.3385,-0.5103,0.405,0.6718,0.4487,Normal
Salis Abdul Samed,Lens,Ligue 1,22,Midfielder,20,20,1799,1,0.0,0.6,0.15,59.5,0.5,91.6,1.5,1.1,1.3,1.25,0.7,1.35,2.45,0.15,0.0,4,7.55,0.56,0.05,0.5367,0.9994,1.32,0.8776,0,0.3571,0.8776,-0.0137,1.2286,0.0722,0.5098,Normal
Laurent Abergel,Lorient,Ligue 1,30,Midfielder,15,15,1165,0,0.08,0.31,0.0,37.9,0.62,87.3,3.8,1.16,1.4,0.93,0.54,1.01,0.93,0.16,0.0,5,7.434,0.5806,0.0,0.5137,0.863,2.288,0.5977,0,-0.1581,0.5977,-0.5103,0.9006,1.0798,0.6493,Normal
Oliver Abildgaard,Hellas Verona,Serie A,26,Midfielder,1,0,11,0,0.0,0.0,0.0,20.0,0.0,66.7,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,7.334,0.0,0.0,0.3534,0.1222,4.0,-1.3533,0,-0.6023,-1.3533,-0.5103,-0.6703,2.862,1.1996,Attention
Matthis Abline,Auxerre,Ligue 1,19,Midfielder,5,2,185,1,0.0,4.29,1.43,7.14,0.0,71.4,1.43,0.48,0.48,1.43,0.48,1.43,0.95,0.0,0.0,7,7.457,0.3357,0.2,0.4936,0.4111,0.86,0.3531,0,-0.0559,0.3531,-0.0137,-0.3119,-0.4067,0.2283,Normal
Matthis Abline,Rennes,Ligue 1,19,Midfielder,11,0,107,1,0.0,5.0,1.67,5.83,1.67,46.7,0.83,1.67,0.83,0.0,0.0,4.17,2.5,0.0,0.0,8,7.334,0.0,0.0909090909090909,0.3407,0.1081,1.082,-1.5079,0,-0.6023,-1.5079,-0.0137,-2.1955,-0.1756,0.899,Normal
Abner,Betis,La Liga,22,Defender,4,3,272,0,0.0,0.67,0.33,39.0,0.0,71.8,2.67,2.0,1.33,1.33,0.33,0.67,0.67,0.0,0.0,9,7.359,0.2481,0.0,0.414,0.7556,2.067,-0.6157,0,-0.4912,-0.6157,-0.5103,-0.2814,0.8498,0.5497,Normal
Zakaria Aboukhlal,Toulouse,Ligue 1,22,Midfielder,22,17,1507,5,0.24,2.75,1.02,17.6,0.54,69.7,1.14,0.84,0.54,3.17,1.02,1.8,1.56,0.18,0.0,10,7.856,0.3218,0.2272727272727272,0.5076,0.7611,0.87,0.5235,0,1.7163,0.5235,1.9727,-0.4415,-0.3963,1.0101,Attention
Tammy Abraham,Roma,Serie A,25,Forward,22,18,1582,6,0.17,2.67,1.25,13.7,1.42,68.6,0.74,0.17,0.51,3.01,0.8,2.05,1.31,0.06,0.0,11,7.952,0.2658,0.2727272727272727,0.5107,0.799,0.5,0.5612,0,2.1427,0.5612,2.4693,-0.5254,-0.7815,1.296,Surperformance
Francesco Acerbi,Inter,Serie A,35,Defender,14,12,1110,0,0.08,0.49,0.0,51.7,0.49,87.7,1.3,0.98,0.57,0.16,0.0,0.73,0.73,0.24,0.0,12,7.432,0.0,0.0,0.3984,0.881,0.985,-0.8056,0,-0.167,-0.8056,-0.5103,0.9311,-0.2766,0.5381,Normal
Mohamed Achi,Nantes,Ligue 1,21,Forward,2,0,36,0,0.0,2.5,0.0,45.0,2.5,85.7,2.5,0.0,0.0,2.5,0.0,0.0,5.0,0.0,0.0,13,7.428,0.0,0.0,0.3942,0.2,1.0,-0.8567,0,-0.1848,-0.8567,-0.5103,0.7786,-0.261,0.5183,Normal
Marcos Acuña,Sevilla,La Liga,31,Defender,16,12,985,2,0.09,1.47,0.37,46.5,1.93,73.9,3.3,1.47,1.01,2.11,0.64,1.65,1.65,0.46,0.09,14,7.535,0.3033,0.125,0.472,0.684,2.064,0.0902,0,0.2905,0.0902,0.4829,-0.1212,0.8466,0.3663,Normal
Che Adams,Southampton,Premier League,26,Forward,21,18,1577,4,0.11,2.06,0.74,14.6,1.2,65.8,0.86,0.23,0.51,1.43,0.63,1.03,1.77,0.0,0.0,15,7.737,0.4406,0.1904761904761904,0.509,0.8344,0.566,0.5405,0,1.1877,0.5405,1.4761,-0.7389,-0.7128,0.9312,Normal
Tyler Adams,Leeds United,Premier League,23,Midfielder,19,19,1706,0,0.0,0.11,0.0,47.1,1.21,82.0,4.11,1.42,1.84,0.89,0.16,1.05,1.74,0.26,0.05,16,7.387,0.1798,0.0,0.4216,0.9977,2.622,-0.5232,0,-0.3669,-0.5232,-0.5103,0.4965,1.4275,0.6649,Normal
Sargis Adamyan,Köln,Bundesliga,29,Midfielder,16,3,471,1,0.19,3.46,1.73,18.1,1.35,72.3,1.92,0.38,1.35,4.04,0.77,0.77,2.31,0.38,0.0,17,7.456,0.1906,0.0625,0.4252,0.3271,1.287,-0.4794,0,-0.0604,-0.4794,-0.0137,-0.2433,0.0378,0.1669,Normal
Tosin Adarabioyo,Fulham,Premier League,25,Defender,14,12,1095,1,0.0,0.33,0.16,38.9,0.08,80.1,1.07,1.07,0.82,0.25,0.16,0.25,0.66,0.16,0.0,18,7.492,0.64,0.0714285714285714,0.5344,0.869,0.995,0.8496,0,0.0995,0.8496,-0.0137,0.3516,-0.2662,0.3161,Normal
Martin Adeline,Reims,Ligue 1,19,Midfielder,5,0,107,0,0.0,0.83,0.0,24.2,0.0,70.7,2.5,2.5,2.5,2.5,0.83,0.0,4.17,1.67,0.0,19,7.27,0.332,0.0,0.4259,0.2378,2.5,-0.4709,0,-0.8865,-0.4709,-0.5103,-0.3653,1.3005,0.7067,Normal
Karim Adeyemi,Dortmund,Bundesliga,21,Midfielder,15,11,765,2,0.12,2.24,0.94,24.2,1.41,73.6,1.18,0.71,1.18,5.41,1.53,2.0,1.29,0.59,0.0,20,7.547,0.2828,0.1333333333333333,0.4702,0.5667,1.039,0.0683,0,0.3438,0.0683,0.4829,-0.1441,-0.2204,0.2519,Normal
Amine Adli,Leverkusen,Bundesliga,22,Forward,13,6,652,1,0.28,1.94,0.69,26.3,1.39,79.4,1.53,0.42,2.08,2.64,1.11,2.78,3.33,0.14,0.0,21,7.51,0.4205,0.0769230769230769,0.4913,0.5573,1.362,0.3251,0,0.1795,0.3251,-0.0137,0.2982,0.1159,0.1865,Normal
Yacine Adli,Milan,Serie A,22,Midfielder,4,1,116,0,0.0,1.54,1.54,29.2,0.77,63.3,4.62,0.77,1.54,0.77,0.77,0.77,2.31,0.77,0.0,22,7.278,1.0,0.0,0.5449,0.3222,2.541,0.9774,0,-0.851,0.9774,-0.5103,-0.9296,1.3432,0.9223,Normal
Michel Aebischer,Bologna,Serie A,26,Midfielder,18,8,775,1,0.0,1.16,0.23,32.6,0.93,81.9,0.47,0.35,1.28,0.47,0.12,1.63,1.16,0.35,0.0,23,7.492,0.2553,0.0555555555555555,0.4563,0.4784,0.677,-0.1009,0,0.0995,-0.1009,-0.0137,0.4888,-0.5972,0.26,Normal
Felix Afena-Gyan,Cremonese,Serie A,20,Midfielder,12,2,359,0,0.0,2.5,0.25,17.8,0.25,78.9,1.0,0.0,0.25,2.0,0.5,1.0,2.0,0.25,0.0,24,7.382,0.25,0.0,0.4293,0.3324,0.475,-0.4295,0,-0.3891,-0.4295,-0.5103,0.2601,-0.8075,0.4793,Normal
Emmanuel Agbadou,Reims,Ligue 1,25,Defender,19,18,1599,0,0.11,0.79,0.11,43.4,0.34,85.4,2.58,1.18,1.12,0.39,0.22,0.28,1.01,0.11,0.11,25,7.407,0.5641,0.0,0.5058,0.9351,1.722,0.5015,0,-0.278,0.5015,-0.5103,0.7558,0.4906,0.5072,Normal
Lucien Agoume,Troyes,Ligue 1,21,Midfielder,5,4,286,0,0.0,0.31,0.0,47.5,0.63,83.1,4.38,1.88,0.63,1.56,0.63,1.56,2.19,0.63,0.0,26,7.384,0.4038,0.0,0.4685,0.6356,2.505,0.0476,0,-0.3802,0.0476,-0.5103,0.5804,1.3057,0.5648,Normal
Felix Agu,Werder Bremen,Bundesliga,23,Defender,3,0,49,0,0.0,2.0,0.0,32.0,2.0,64.0,2.0,0.0,2.0,6.0,0.0,6.0,6.0,0.0,0.0,27,7.32,0.0,0.0,0.3476,0.1815,1.4,-1.4239,0,-0.6644,-1.4239,-0.5103,-0.8762,0.1554,0.726,Normal
Álvaro Aguado,Valladolid,La Liga,26,Midfielder,19,12,1130,0,0.16,0.71,0.16,44.2,1.43,83.0,0.95,0.63,0.87,1.03,0.48,1.27,0.48,0.16,0.0,28,7.418,0.466,0.0,0.4817,0.6608,0.83,0.2082,0,-0.2292,0.2082,-0.5103,0.5727,-0.4379,0.3917,Normal
Kevin Agudelo,Spezia,Serie A,24,Midfielder,21,16,1443,0,0.0,1.13,0.31,19.6,0.88,70.6,2.94,0.44,1.75,3.38,1.38,1.75,1.63,0.13,0.0,29,7.346,0.4083,0.0,0.4432,0.7635,1.833,-0.2603,0,-0.549,-0.2603,-0.5103,-0.3729,0.6062,0.4597,Normal
Nayef Aguerd,West Ham,Premier League,26,Defender,6,5,515,0,0.0,0.88,0.0,30.9,0.18,78.2,2.28,1.05,1.23,0.18,0.18,0.7,0.7,0.53,0.0,30,7.364,1.0,0.0,0.5773,0.9537,1.596,1.3718,0,-0.469,1.3718,-0.5103,0.2067,0.3595,0.5835,Normal
Ruben Aguilar,Monaco,Ligue 1,29,Defender,13,7,615,0,0.0,0.29,0.29,47.9,0.15,81.7,1.91,1.91,0.44,0.74,0.44,1.03,1.47,0.29,0.0,31,7.394,0.5946,0.0,0.5041,0.5256,1.469,0.4809,0,-0.3358,0.4809,-0.5103,0.4736,0.2273,0.4056,Normal
Naouirou Ahamada,Crystal Palace,Premier League,20,Midfielder,2,0,16,0,0.0,5.0,0.0,50.0,0.0,71.4,0.0,0.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,32,7.357,1.0,0.0,0.5635,0.0889,1.5,1.2038,0,-0.5001,1.2038,-0.5103,-0.3119,0.2595,0.5571,Normal
