from,to,weight
G. Donnarumma,A. Hakimi,1.0
G. Donnarumma,Marquinhos,1.5
G. Donnarumma,M. Škriniar,1.0
G. Donnarumma,L. Hernández,1.0
G. Donnarumma,W. Zaïre-Emery,1.0
G. Donnarumma,Vitinha,15.5
G. Donnarumma,Lee Kang-In,1.0
G. Donnarumma,O. Dembélé,1.0
G. Donnarumma,K. Mbappé,1.0
G. Donnarumma,B. Barcola,1.0
G. Donnarumma,Danilo Pereira,34.95
G. Donnarumma,C. Ndour,1.0
G. Donnarumma,Carlos Soler,17.55
G. Donnarumma,Marco Asensio,20.4
G. Donnarumma,N. Lemina,1.0
G. Donnarumma,L. Kurzawa,1.0
G. Donnarumma,M. Ugarte,1.0
G. Donnarumma,Ismaël Gharbi,27.5
G. Donnarumma,H. Ekitike,1.0
G. Donnarumma,Fabián Ruiz,1.0
G. Donnarumma,A. Letellier,1.0
G. Donnarumma,Gonçalo Ramos,1.0
G. Donnarumma,Keylor Navas,12.0
G. Donnarumma,Achraf Hakimi,28.55
G. Donnarumma,Sergio Ramos,41.8
G. Donnarumma,Juan Bernat,27.05
G. Donnarumma,Renato Sanches,40.5
G. Donnarumma,Lionel Messi,27.15
G. Donnarumma,Kylian Mbappé,17.3
G. Donnarumma,Neymar,30.4
A. Hakimi,G. Donnarumma,1.0
A. Hakimi,Marquinhos,1.5
A. Hakimi,M. Škriniar,1.0
A. Hakimi,L. Hernández,1.0
A. Hakimi,W. Zaïre-Emery,1.0
A. Hakimi,Vitinha,15.5
A. Hakimi,Lee Kang-In,1.0
A. Hakimi,O. Dembélé,1.0
A. Hakimi,K. Mbappé,1.0
A. Hakimi,B. Barcola,1.0
A. Hakimi,Danilo Pereira,34.95
A. Hakimi,C. Ndour,1.0
A. Hakimi,Carlos Soler,17.55
A. Hakimi,Marco Asensio,20.4
A. Hakimi,N. Lemina,1.0
A. Hakimi,L. Kurzawa,1.0
A. Hakimi,M. Ugarte,1.0
A. Hakimi,Ismaël Gharbi,27.5
A. Hakimi,H. Ekitike,1.0
A. Hakimi,Fabián Ruiz,1.0
A. Hakimi,A. Letellier,1.0
A. Hakimi,Gonçalo Ramos,1.0
A. Hakimi,Keylor Navas,12.0
A. Hakimi,Achraf Hakimi,28.55
A. Hakimi,Sergio Ramos,41.8
A. Hakimi,Juan Bernat,27.05
A. Hakimi,Renato Sanches,40.5
A. Hakimi,Lionel Messi,27.15
A. Hakimi,Kylian Mbappé,17.3
A. Hakimi,Neymar,30.4
Marquinhos,G. Donnarumma,1.5
Marquinhos,A. Hakimi,1.5
Marquinhos,M. Škriniar,1.5
Marquinhos,L. Hernández,1.5
Marquinhos,W. Zaïre-Emery,1.5
Marquinhos,Vitinha,16.0
Marquinhos,Lee Kang-In,1.5
Marquinhos,O. Dembélé,1.5
Marquinhos,K. Mbappé,1.5
Marquinhos,B. Barcola,1.5
Marquinhos,Danilo Pereira,35.45
