player_id,player_name,age,nationality,position,team,appearances,minutes,rating,goals,assists,shots_total,shots_on,passes_total,passes_key,pass_accuracy,duels_total,duels_won,tackles,interceptions,blocks,dribbles_attempts,dribbles_success,fouls_drawn,fouls_committed,yellow_cards,red_cards,duels_won_pct,xg_proxy,performance_score,fatigue_index,defensive_impact,anomaly_z,is_anomaly
278,Kylian Mbappé,27,France,Attacker,Paris Saint Germain,29,2159,7.917241,27,7,91,59,931,40,0.0,224,103,4,2,0,123,61,38,19,4,0,0.4598214285714285,0.9310344827586208,0.6088,0.8272,2.2,2.2361,1
41585,Gonçalo Ramos,24,Portugal,Attacker,Paris Saint Germain,29,1419,7.188888,11,1,36,21,392,16,0.0,166,85,25,5,2,19,8,22,19,1,0,0.5120481927710844,0.3793103448275862,0.4319,0.5437,12.1,1.3483,0
162473,Arnau Tenas,24,Spain,Goalkeeper,Paris Saint Germain,6,528,7.116666,0,1,0,0,192,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.2135,0.9778,0.0,0.2523,0
386285,Yoram\t Zague,19,France,Defender,Paris Saint Germain,5,372,6.7,1,0,2,1,307,3,56.0,50,23,18,4,0,3,2,3,5,1,0,0.46,0.2,0.465,0.8267,8.4,1.5145,0
386287,E. Mbappé,19,France,Midfielder,Paris Saint Germain,3,45,6.7,0,0,1,1,43,0,0.0,4,1,0,0,0,0,0,1,1,0,0,0.25,0.0,0.251,0.1667,0.0,0.4405,0
257,Marquinhos,31,Brazil,Defender,Paris Saint Germain,21,1539,7.247619,0,1,1,0,1783,9,80.0,80,47,19,17,19,1,1,3,3,1,0,0.5875,0.0,0.4949,0.8143,18.4,1.6645,0
328,Fabián Ruiz,29,Spain,Midfielder,Paris Saint Germain,21,1194,7.061904,1,3,12,6,859,18,0.0,102,64,33,11,2,18,16,11,6,3,0,0.6274509803921569,0.0476190476190476,0.3516,0.6317,17.1,0.9453,0
381,Danilo Pereira,34,Portugal,Midfielder,Paris Saint Germain,26,1993,7.153846,0,0,7,1,2215,0,80.0,136,82,22,23,26,5,3,11,14,2,0,0.6029411764705882,0.0,0.4952,0.8517,23.5,1.666,0
927,Lee Kang-In,24,Korea Republic,Midfielder,Paris Saint Germain,23,1470,7.145454,3,4,13,9,903,27,0.0,161,77,26,6,0,45,25,22,17,2,0,0.4782608695652174,0.1304347826086956,0.3491,0.7101,12.2,0.9328,0
161904,B. Barcola,23,France,Attacker,Paris Saint Germain,25,1379,6.733333,4,0,1,0,90,4,0.0,48,24,5,2,0,18,8,2,4,2,0,0.5,0.16,0.35,0.6129,2.6,0.9373,0
263482,Nuno Mendes,23,Portugal,Defender,Paris Saint Germain,6,265,7.016666,1,1,4,1,190,3,0.0,36,18,5,4,0,10,6,1,6,3,0,0.5,0.1666666666666666,0.3605,0.4907,3.2,0.99,0
307835,Beraldo,22,Brazil,Defender,Paris Saint Germain,13,1011,6.892307,1,0,5,2,933,4,64.0,97,53,22,20,6,4,3,13,12,4,1,0.5463917525773195,0.0769230769230769,0.4671,0.8641,16.6,1.525,0
336657,W. Zaïre-Emery,19,France,Midfielder,Paris Saint Germain,26,1962,7.053846,2,3,8,4,1382,22,49.0,222,104,51,15,8,37,16,30,21,4,0,0.4684684684684684,0.0769230769230769,0.4264,0.8385,27.3,1.3207,0
409216,Senny Mayulu,19,France,Midfielder,Paris Saint Germain,8,322,6.8625,0,1,2,0,161,6,0.0,37,21,13,3,0,10,5,3,8,0,0,0.5675675675675675,0.0,0.3194,0.4472,6.1,0.7837,0
9,A. Hakimi,27,Morocco,Defender,Paris Saint Germain,25,1931,7.324,4,5,28,12,1738,43,61.0,205,91,29,12,4,57,27,26,22,3,0,0.4439024390243902,0.16,0.4785,0.8582,16.4,1.5822,0
